Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,D. Poirier,Substitution In,(MELILLA CIUDAD DEL DEPORTE) D. POIRIER: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,M. Stilma,Substitution In,(MELILLA CIUDAD DEL DEPORTE) M. STILMA: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,10:00,600,0,0,INVEREADY GIPUZKOA,J. Nicolau Aledon,Substitution In,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,10:00,600,0,0,INVEREADY GIPUZKOA,M. Motos Cabodevilla,Substitution In,(INVEREADY GIPUZKOA) M. MOTOS CABODEVILLA: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,10:00,600,0,0,INVEREADY GIPUZKOA,I. Arroyo Varela,Substitution In,(INVEREADY GIPUZKOA) I. ARROYO VARELA: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,P. Cordoba Muro,Substitution In,(MELILLA CIUDAD DEL DEPORTE) P. CORDOBA MURO: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,M. Heron,Substitution In,(MELILLA CIUDAD DEL DEPORTE) M. HERON: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,10:00,600,0,0,INVEREADY GIPUZKOA,G. Korsantia,Substitution In,(INVEREADY GIPUZKOA) G. KORSANTIA: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,10:00,600,0,0,INVEREADY GIPUZKOA,T. Mcghie,Substitution In,(INVEREADY GIPUZKOA) T. MCGHIE: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,J. Garcia Sanchez,Substitution In,(MELILLA CIUDAD DEL DEPORTE) J. GARCIA SANCHEZ: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,09:59,599,0,0,INVEREADY GIPUZKOA,M. Motos Cabodevilla,Rebound,(INVEREADY GIPUZKOA) M. MOTOS CABODEVILLA: REBOTE (Rebotes: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,09:59,599,0,0,MELILLA CIUDAD DEL DEPORTE,M. Stilma,3PT Missed,(MELILLA CIUDAD DEL DEPORTE) M. STILMA: TIRO DE 3 FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,09:44,584,0,0,MELILLA CIUDAD DEL DEPORTE,P. Cordoba Muro,Foul,(MELILLA CIUDAD DEL DEPORTE) P. CORDOBA MURO: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,09:34,574,0,0,MELILLA CIUDAD DEL DEPORTE,M. Stilma,Rebound,(MELILLA CIUDAD DEL DEPORTE) M. STILMA: REBOTE (Rebotes: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,09:34,574,0,0,INVEREADY GIPUZKOA,T. Mcghie,3PT Missed,(INVEREADY GIPUZKOA) T. MCGHIE: TIRO DE 3 FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,09:13,553,0,1,MELILLA CIUDAD DEL DEPORTE,M. Stilma,FT Made,(MELILLA CIUDAD DEL DEPORTE) M. STILMA: TIRO DE 1 ANOTADO (Puntos: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,09:13,553,0,2,MELILLA CIUDAD DEL DEPORTE,M. Stilma,FT Made,(MELILLA CIUDAD DEL DEPORTE) M. STILMA: TIRO DE 1 ANOTADO (Puntos: 2),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,09:13,553,0,2,INVEREADY GIPUZKOA,J. Nicolau Aledon,Foul,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 2,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,08:54,534,1,2,INVEREADY GIPUZKOA,J. Nicolau Aledon,FT Made,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: TIRO DE 1 ANOTADO (Puntos: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,08:54,534,2,2,INVEREADY GIPUZKOA,J. Nicolau Aledon,FT Made,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: TIRO DE 1 ANOTADO (Puntos: 2),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,08:54,534,2,2,INVEREADY GIPUZKOA,I. Arroyo Varela,Assist,(INVEREADY GIPUZKOA) I. ARROYO VARELA: ASISTENCIA (Asistencias: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,08:54,534,2,2,MELILLA CIUDAD DEL DEPORTE,M. Heron,Foul,(MELILLA CIUDAD DEL DEPORTE) M. HERON: FALTA Personal (Faltas: 1. Faltas de equipo: 2). Tiros libres: 2,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,08:36,516,2,2,INVEREADY GIPUZKOA,M. Motos Cabodevilla,Steal,(INVEREADY GIPUZKOA) M. MOTOS CABODEVILLA: ROBO (Robos: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,08:36,516,2,2,MELILLA CIUDAD DEL DEPORTE,J. Garcia Sanchez,Turnover,(MELILLA CIUDAD DEL DEPORTE) J. GARCIA SANCHEZ: PÉRDIDA (Pérdidas: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,08:30,510,2,2,INVEREADY GIPUZKOA,I. Arroyo Varela,Rebound,(INVEREADY GIPUZKOA) I. ARROYO VARELA: REBOTE (Rebotes: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,08:30,510,2,2,INVEREADY GIPUZKOA,T. Mcghie,3PT Missed,(INVEREADY GIPUZKOA) T. MCGHIE: TIRO DE 3 FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,08:14,494,2,2,INVEREADY GIPUZKOA,J. Nicolau Aledon,Rebound,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: REBOTE (Rebotes: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,08:14,494,2,2,INVEREADY GIPUZKOA,J. Nicolau Aledon,2PT Missed,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: TIRO DE 2 FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,08:08,488,5,2,INVEREADY GIPUZKOA,I. Arroyo Varela,3PT Made,(INVEREADY GIPUZKOA) I. ARROYO VARELA: TIRO DE 3 ANOTADO (Puntos: 3),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,07:49,469,5,2,INVEREADY GIPUZKOA,J. Nicolau Aledon,Rebound,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: REBOTE (Rebotes: 2),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,07:49,469,5,2,MELILLA CIUDAD DEL DEPORTE,P. Cordoba Muro,2PT Missed,(MELILLA CIUDAD DEL DEPORTE) P. CORDOBA MURO: TIRO DE 2 FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,07:34,454,5,2,MELILLA CIUDAD DEL DEPORTE,P. Cordoba Muro,Rebound,(MELILLA CIUDAD DEL DEPORTE) P. CORDOBA MURO: REBOTE (Rebotes: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,07:34,454,5,2,INVEREADY GIPUZKOA,M. Motos Cabodevilla,3PT Missed,(INVEREADY GIPUZKOA) M. MOTOS CABODEVILLA: TIRO DE 3 FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,07:17,437,5,4,MELILLA CIUDAD DEL DEPORTE,D. Poirier,2PT Made,(MELILLA CIUDAD DEL DEPORTE) D. POIRIER: TIRO DE 2 ANOTADO (Puntos: 2),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,07:17,437,5,4,MELILLA CIUDAD DEL DEPORTE,P. Cordoba Muro,Assist,(MELILLA CIUDAD DEL DEPORTE) P. CORDOBA MURO: ASISTENCIA (Asistencias: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,07:01,421,8,4,INVEREADY GIPUZKOA,T. Mcghie,3PT Made,(INVEREADY GIPUZKOA) T. MCGHIE: TIRO DE 3 ANOTADO (Puntos: 3),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,D. Poirier,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro
1,06:49,409,8,4,MELILLA CIUDAD DEL DEPORTE,D. Poirier,Substitution Out,(MELILLA CIUDAD DEL DEPORTE) D. POIRIER: Sustitución (Sale de pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,J. Garcia Sanchez,M. Heron,M. Stilma,P. Cordoba Muro,
1,06:49,409,8,4,MELILLA CIUDAD DEL DEPORTE,P. Cordoba Muro,Substitution Out,(MELILLA CIUDAD DEL DEPORTE) P. CORDOBA MURO: Sustitución (Sale de pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie,J. Garcia Sanchez,M. Heron,M. Stilma,,
1,06:49,409,8,4,INVEREADY GIPUZKOA,J. Nicolau Aledon,Substitution Out,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: Sustitución (Sale de pista),G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,,J. Garcia Sanchez,M. Heron,M. Stilma,,
1,06:49,409,8,4,MELILLA CIUDAD DEL DEPORTE,M. Stilma,Substitution Out,(MELILLA CIUDAD DEL DEPORTE) M. STILMA: Sustitución (Sale de pista),G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,,J. Garcia Sanchez,M. Heron,,,
1,06:49,409,8,4,MELILLA CIUDAD DEL DEPORTE,P. Krutous,Substitution In,(MELILLA CIUDAD DEL DEPORTE) P. KRUTOUS: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,,J. Garcia Sanchez,M. Heron,P. Krutous,,
1,06:49,409,8,4,MELILLA CIUDAD DEL DEPORTE,L. Debaut,Substitution In,(MELILLA CIUDAD DEL DEPORTE) L. DEBAUT: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,,J. Garcia Sanchez,L. Debaut,M. Heron,P. Krutous,
1,06:49,409,8,4,MELILLA CIUDAD DEL DEPORTE,R. Stumbris,Substitution In,(MELILLA CIUDAD DEL DEPORTE) R. STUMBRIS: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,,J. Garcia Sanchez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,06:49,409,8,4,INVEREADY GIPUZKOA,A. Ngom,Substitution In,(INVEREADY GIPUZKOA) A. NGOM: Sustitución (Entra a pista),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,J. Garcia Sanchez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,06:41,401,8,6,MELILLA CIUDAD DEL DEPORTE,L. Debaut,2PT Made,(MELILLA CIUDAD DEL DEPORTE) L. DEBAUT: MATE ANOTADO (Puntos: 2),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,J. Garcia Sanchez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,06:41,401,8,7,MELILLA CIUDAD DEL DEPORTE,L. Debaut,FT Made,(MELILLA CIUDAD DEL DEPORTE) L. DEBAUT: TIRO DE 1 ANOTADO (Puntos: 3),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,J. Garcia Sanchez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,06:41,401,8,7,INVEREADY GIPUZKOA,A. Ngom,Foul,(INVEREADY GIPUZKOA) A. NGOM: FALTA Personal (Faltas: 1. Faltas de equipo: 2). Tiros libres: 1,A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,J. Garcia Sanchez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,06:41,401,8,7,MELILLA CIUDAD DEL DEPORTE,J. Garcia Sanchez,Assist,(MELILLA CIUDAD DEL DEPORTE) J. GARCIA SANCHEZ: ASISTENCIA (Asistencias: 1),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,J. Garcia Sanchez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,06:16,376,8,7,MELILLA CIUDAD DEL DEPORTE,J. Garcia Sanchez,Substitution Out,(MELILLA CIUDAD DEL DEPORTE) J. GARCIA SANCHEZ: Sustitución (Sale de pista),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,L. Debaut,M. Heron,P. Krutous,R. Stumbris,
1,06:16,376,8,7,MELILLA CIUDAD DEL DEPORTE,C. Diaz Rodriguez,Substitution In,(MELILLA CIUDAD DEL DEPORTE) C. DIAZ RODRIGUEZ: Sustitución (Entra a pista),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,06:16,376,8,7,MELILLA CIUDAD DEL DEPORTE,P. Krutous,Foul,(MELILLA CIUDAD DEL DEPORTE) P. KRUTOUS: FALTA Personal (Faltas: 1. Faltas de equipo: 3). Tiros libres: 0,A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,06:11,371,10,7,INVEREADY GIPUZKOA,T. Mcghie,2PT Made,(INVEREADY GIPUZKOA) T. MCGHIE: TIRO DE 2 ANOTADO (Puntos: 5),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,05:45,345,10,10,MELILLA CIUDAD DEL DEPORTE,L. Debaut,3PT Made,(MELILLA CIUDAD DEL DEPORTE) L. DEBAUT: TIRO DE 3 ANOTADO (Puntos: 6),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,05:45,345,10,10,MELILLA CIUDAD DEL DEPORTE,C. Diaz Rodriguez,Assist,(MELILLA CIUDAD DEL DEPORTE) C. DIAZ RODRIGUEZ: ASISTENCIA (Asistencias: 1),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,05:34,334,12,10,INVEREADY GIPUZKOA,T. Mcghie,2PT Made,(INVEREADY GIPUZKOA) T. MCGHIE: TIRO DE 2 ANOTADO (Puntos: 7),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,05:20,320,12,10,INVEREADY GIPUZKOA,A. Ngom,Rebound,(INVEREADY GIPUZKOA) A. NGOM: REBOTE (Rebotes: 1),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,05:20,320,12,10,MELILLA CIUDAD DEL DEPORTE,R. Stumbris,3PT Missed,(MELILLA CIUDAD DEL DEPORTE) R. STUMBRIS: TIRO DE 3 FALLADO,A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,05:04,304,13,10,INVEREADY GIPUZKOA,G. Korsantia,FT Made,(INVEREADY GIPUZKOA) G. KORSANTIA: TIRO DE 1 ANOTADO (Puntos: 1),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,05:04,304,14,10,INVEREADY GIPUZKOA,G. Korsantia,FT Made,(INVEREADY GIPUZKOA) G. KORSANTIA: TIRO DE 1 ANOTADO (Puntos: 2),A. Ngom,G. Korsantia,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,05:04,304,14,10,INVEREADY GIPUZKOA,G. Korsantia,Substitution Out,(INVEREADY GIPUZKOA) G. KORSANTIA: Sustitución (Sale de pista),A. Ngom,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,,C. Diaz Rodriguez,L. Debaut,M. Heron,P. Krutous,R. Stumbris
1,05:04,304,14,10,MELILLA CIUDAD DEL DEPORTE,M. Heron,Substitution Out,(MELILLA CIUDAD DEL DEPORTE) M. HERON: Sustitución (Sale de pista),A. Ngom,I. Arroyo Varela,M. Motos Cabodevilla,T. Mcghie,,C. Diaz Rodriguez,L. Debaut,P. Krutous,R. Stumbris,
1,05:04,304,14,10,INVEREADY GIPUZKOA,M. Ansorregui Deba,Substitution In,(INVEREADY GIPUZKOA) M. ANSORREGUI DEBA: Sustitución (Entra a pista),A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,L. Debaut,P. Krutous,R. Stumbris,
1,05:04,304,14,10,MELILLA CIUDAD DEL DEPORTE,J. Godspower Johnson,Substitution In,(MELILLA CIUDAD DEL DEPORTE) J. GODSPOWER JOHNSON: Sustitución (Entra a pista),A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,L. Debaut,P. Krutous,R. Stumbris
1,05:04,304,14,10,MELILLA CIUDAD DEL DEPORTE,R. Stumbris,Foul,(MELILLA CIUDAD DEL DEPORTE) R. STUMBRIS: FALTA Personal (Faltas: 1. Faltas de equipo: 4). Tiros libres: 2,A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,L. Debaut,P. Krutous,R. Stumbris
1,04:50,290,14,13,MELILLA CIUDAD DEL DEPORTE,R. Stumbris,3PT Made,(MELILLA CIUDAD DEL DEPORTE) R. STUMBRIS: TIRO DE 3 ANOTADO (Puntos: 3),A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,L. Debaut,P. Krutous,R. Stumbris
1,04:50,290,14,13,MELILLA CIUDAD DEL DEPORTE,J. Godspower Johnson,Assist,(MELILLA CIUDAD DEL DEPORTE) J. GODSPOWER JOHNSON: ASISTENCIA (Asistencias: 1),A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,L. Debaut,P. Krutous,R. Stumbris
1,04:36,276,14,13,MELILLA CIUDAD DEL DEPORTE,P. Krutous,Rebound,(MELILLA CIUDAD DEL DEPORTE) P. KRUTOUS: REBOTE (Rebotes: 1),A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,L. Debaut,P. Krutous,R. Stumbris
1,04:36,276,14,13,INVEREADY GIPUZKOA,T. Mcghie,3PT Missed,(INVEREADY GIPUZKOA) T. MCGHIE: TIRO DE 3 FALLADO,A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,L. Debaut,P. Krutous,R. Stumbris
1,04:23,263,14,13,INVEREADY GIPUZKOA,M. Ansorregui Deba,Rebound,(INVEREADY GIPUZKOA) M. ANSORREGUI DEBA: REBOTE (Rebotes: 1),A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,L. Debaut,P. Krutous,R. Stumbris
1,04:23,263,14,13,MELILLA CIUDAD DEL DEPORTE,P. Krutous,3PT Missed,(MELILLA CIUDAD DEL DEPORTE) P. KRUTOUS: TIRO DE 3 FALLADO,A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,L. Debaut,P. Krutous,R. Stumbris
1,04:07,247,14,13,INVEREADY GIPUZKOA,Rebote (Rebotes,Rebound,(INVEREADY GIPUZKOA) REBOTE (Rebotes: 6),A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,L. Debaut,P. Krutous,R. Stumbris
1,04:07,247,14,13,MELILLA CIUDAD DEL DEPORTE,L. Debaut,Block,(MELILLA CIUDAD DEL DEPORTE) L. DEBAUT: TAPÓN (Tapones: 1),A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,L. Debaut,P. Krutous,R. Stumbris
1,04:07,247,14,13,INVEREADY GIPUZKOA,T. Mcghie,2PT Missed,(INVEREADY GIPUZKOA) T. MCGHIE: TIRO DE 2 FALLADO,A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,L. Debaut,P. Krutous,R. Stumbris
1,04:02,242,14,13,MELILLA CIUDAD DEL DEPORTE,L. Debaut,Substitution Out,(MELILLA CIUDAD DEL DEPORTE) L. DEBAUT: Sustitución (Sale de pista),A. Ngom,I. Arroyo Varela,M. Ansorregui Deba,M. Motos Cabodevilla,T. Mcghie,C. Diaz Rodriguez,J. Godspower Johnson,P. Krutous,R. Stumbris,
